Packets,Bytes,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Bits/s A to B,Bits/s B to A
322,5384976,140,10152,182,5374824,1940508.19,1027372930
356,6570581,138,9657,218,6560924,2985453.45,2028304151
395,7130207,196,16427,199,7113780,2524186.115,1093109192
398,8311840,177,12092,221,8299748,2352822.656,1614938400
693,13886147,305,21427,388,13864720,3501176.972,2265498595
800,18498235,304,21057,496,18477178,3541628.101,3107721557
2563,51764185,1085,74217,1478,51689968,5593424.785,3895656630
2623,53508343,1086,74201,1537,53434142,5740854.493,4134144205
146,622165,70,5254,76,616911,1433269.705,168290796.9
160,689229,68,4816,92,684413,1358992.74,193129630
482,8277968,185,13172,297,8264796,2507615.822,1573408231
489,8586018,181,12316,308,8573702,4104442.327,2857280399
855,15266855,369,25751,486,15241104,5378073.548,3183091074
920,17593011,365,25177,555,17567834,6850113.134,4779824856
389,26744,389,26744,0,0,3523211.207,0
1183,29977628,389,26652,794,29950976,4234507.374,4758653337
652,22212128,0,0,652,22212128,0,3825375178
1845,34342827,806,56615,1039,34286212,4386619.81,2656549974
1935,38927063,798,54629,1137,38872434,4763059.448,3389256879
167,812005,73,6326,94,805679,3363430.614,428366331.6
177,841417,67,4756,110,836661,2813105.695,494872965.5
272,3052742,133,9458,139,3043284,2169876.146,698197225.3
315,3646928,132,9088,183,3637840,3311814.254,1325687760
654,10649745,285,20853,369,10628892,5749232.633,2930416378
709,12604643,279,19281,430,12585362,5804688.752,3788917029
2065,39508387,828,57031,1237,39451356,7804624.912,5398871418
2130,41987095,825,56525,1305,41930570,9925664.848,7362915253
1299,38276831,502,34675,797,38242156,3060981.426,3375876834
1385,43514205,499,34169,886,43480036,3527645.856,4488927648
83,428009,40,3030,43,424979,805748.7112,113011974.1
96,502997,38,2580,58,500417,1199962.117,232744745.3
174,3771753,75,5757,99,3765996,1669965.855,1092423959
186,4525319,72,5049,114,4520270,1702304.846,1524039914
692,11295003,301,21183,391,11273820,4749497.658,2527733640
763,14262491,299,20745,464,14241746,5919612.687,4063900714
1084,18741007,495,34139,589,18706868,4317906.447,2366047803
1155,21793551,492,33633,663,21759918,5251035.11,3397320888
1735,38588557,735,50477,1000,38538080,4632841.176,3537072407
1838,44060847,734,50317,1104,44010530,4720178.431,4128575917
82,374085,39,3954,43,370131,484030.194,45309706.56
97,407575,33,2384,64,405191,454555.5839,77257479.69
123,1565550,42,2880,81,1562670,1432444.126,777235229.9
99,1255507,45,3611,54,1251896,1982504.031,687313449.7
481,8338253,206,14761,275,8323492,2960590.164,1669429480
552,11245717,202,14069,350,11231648,3037570.121,2424971098
1255,19709643,533,36867,722,19672776,4380752.275,2337634150
1362,24371609,533,36565,829,24335044,4648248.277,3093540991
1724,37951567,666,45791,1058,37905776,3820961.849,3162991067
1840,42846651,663,45285,1177,42801366,3869739.245,3657505261
77,433433,39,3058,38,430375,397000.5363,55872827.28
94,544635,37,2620,57,542015,585090.7597,121041209.2
281,5109330,118,8422,163,5100908,2407256.354,1457990168
314,5926731,119,8433,195,5918298,2415525.184,1695220902
278,6383570,108,8314,170,6375256,1651245.902,1266191405
313,8907938,102,6944,211,8900994,1470920.031,1885462323
1377,31217718,557,38278,820,31179440,5920746.864,4822759068
1466,34260162,555,37940,911,34222222,5879468.38,5303333478
1706,31424255,750,51551,956,31372704,4065573.03,2474210379
1847,38166091,749,51181,1098,38114910,4171252.656,3106366026
145,519001,57,4354,88,514647,881744.0975,104223002.9
154,547495,56,3984,98,543511,844323.1283,115185468.8
692,5236209,310,22497,382,5213712,9150882.171,2120730061
740,7299117,306,21153,434,7277964,11034132.36,3796436350
605,8519187,296,20751,309,8498436,4932154.356,2019931480
683,10258569,293,20245,390,10238324,5538921.198,2801149412
1490,24898219,698,48155,792,24850064,6412216.114,3308981016
1633,27875623,690,47309,943,27828314,8299854.048,4882177695
1507,37356279,598,41251,909,37315028,3488265.985,3155432423
1618,42298273,595,40745,1023,42257528,3542549.793,3674055641
81,342470,38,3922,43,338548,727112.4632,62764525.8
92,415170,32,2328,60,412842,553910.6212,98229196.16
208,5916898,74,5040,134,5911858,2026299.07,2376823883
187,4625587,76,6175,111,4619412,2681174.535,2005740861
535,9358555,218,15423,317,9343132,2698852.83,1634943801
589,10644979,217,15053,372,10629926,3504259.081,2474590761
776,13856983,339,23651,437,13833332,3235765.006,1892580085
840,16050171,335,23077,505,16027094,3582751.575,2488239211
2440,41265933,1017,70729,1423,41195204,6146128.976,3579734437
2561,47074619,1010,69089,1551,47005530,6269776.464,4265717635
114,496805,54,4126,60,492679,918886.7785,109722787
127,597927,51,3476,76,594451,939034.4512,160589749.3
335,5436763,146,10375,189,5426388,2924403.741,1529537288
379,6078157,145,10097,234,6068060,4051680.292,2434964753
301,7178441,123,9681,178,7168760,2817032.147,2086006340
328,9256783,116,8041,212,9248742,2455469.611,2824276200
823,15125101,348,25161,475,15099940,3857188.962,2314825400
911,20230234,337,23104,574,20207130,3688464.886,3225990714
2147,48632975,863,59223,1284,48573752,5780525.883,4741094350
2227,52912535,863,58921,1364,52853614,5837846.846,5236694961
74,299995,37,2592,37,297403,456291.2744,52354318.62
86,348783,36,2432,50,346351,793935.6635,113067603.2
618,10306003,253,17799,365,10288204,6165067.527,3563541344
643,10407169,253,17597,390,10389572,6109663.459,3607250577
286,5726143,131,9363,155,5716780,1631087.734,995895518.3
336,8555807,131,9061,205,8546746,2105644.943,1986139774
1268,28312611,501,34719,767,28277892,3584758.041,2919709690
1363,32020981,502,34493,861,31986488,5041178.804,4674850124
2093,43620121,897,62505,1196,43557616,5453664.887,3800474217
2190,47816297,889,60797,1301,47755500,5595457.369,4395181742
167,1077305,81,6754,86,1070551,2060933.321,326670747.4
178,1106877,76,5344,102,1101533,2881278.028,593903972.7
241,3403795,108,9759,133,3394036,3499962.141,1217235117
255,4189451,94,6605,161,4182846,2977039.778,1885313993
421,8298164,180,12424,241,8285740,3529688.723,2353998957
381,6869316,181,12492,200,6856824,3744859.278,2055542825
1085,20830829,502,35633,583,20795196,4974962.1,2903356775
1220,25742537,489,33585,731,25708952,5626878.637,4307314360
1166,33148277,454,32189,712,33116088,2954162.167,3039246149
1253,38540171,450,30753,803,38509418,2964082.475,3711673366
382,969587,149,10680,233,958907,4864671.711,436776007.1
386,980818,146,10108,240,970710,5218063.751,501110671.2
178,2073981,90,7437,88,2066544,1998419.698,555307548.2
180,2501015,83,5797,97,2495218,1634819.426,703679637.4
786,14816495,336,23567,450,14792928,3425642.929,2150264743
843,16823403,336,23273,507,16800130,4795243.41,3461552558
1429,25840245,574,40361,855,25799884,5871414.054,3753172654
1535,31501997,567,38721,968,31463276,5860379.977,4761931579
2298,43803454,1008,69006,1290,43734448,5402699.741,3424109366
2387,47583267,1011,69053,1376,47514214,6301445.333,4335919106
124,520614,57,5226,67,515388,2545652.07,251052148.7
140,638345,52,3724,88,634621,2097435.422,357431945.5
243,3886533,100,8105,143,3878428,3498486.84,1674106023
263,5450579,94,6533,169,5444046,3270569.406,2725414096
448,7774729,204,15241,244,7759488,3420733.339,1741561531
486,9480494,203,14064,283,9466430,3169391.485,2133306501
1431,26616963,595,41275,836,26575688,5746745.853,3700150813
1524,30724985,591,40701,933,30684284,6326749.42,4769705315
1014,28255091,413,29855,601,28225236,2875065.188,2718117349
1090,33364644,400,27208,690,33337436,2686449.213,3291654246
67,601196,28,3008,39,598188,823622.3544,163790229
67,667968,24,1784,43,666184,2034797.721,759837267.5
140,2013479,62,4695,78,2008784,2540577.37,1087001314
157,3012391,59,4189,98,3008202,4720688.157,3390017559
393,6919049,173,12097,220,6906952,2681751.751,1531183816
443,8649587,174,12177,269,8637410,3360277.018,2383517313
1265,29627939,504,34895,761,29593044,4458047.056,3780690147
1343,32499129,503,34525,840,32464604,5733051.123,5390911931
1079,30355577,425,30209,654,30325368,2801753.041,2812545666
1176,36628443,421,28781,755,36599662,2990270.582,3802609102
