Address A,Port A,Address B,Port B,Packets,Bytes,Packets A ? B,Bytes A ? B,Packets B ? A,Bytes B ? A,Rel Start,Duration,Bits/s A ? B,Bits/s B ? A
10.0.0.4,54356,10.0.0.2,80,202,884487,70,5039,132,879448,6.513376645,0.013362219,3016864.19,526528116.3
10.0.0.4,54360,10.0.1.1,80,555,6642162,222,15865,333,6626297,6.521871505,0.025608729,4956122.578,2070011987
10.0.0.4,54360,10.0.0.2,80,576,6714022,220,15427,356,6698595,6.527031984,0.020444948,6036503.492,2621124788
10.0.0.4,54374,10.0.1.1,80,20,8893,13,2207,7,6686,6.550279577,0.008617685,2048810.092,6206771.308
10.0.0.4,54374,10.0.0.1,80,16,7755,7,631,9,7124,6.554164903,0.004726472,0,0
10.0.0.4,54376,10.0.1.1,80,15,3687,8,1001,7,2686,6.560862343,0.004471928,0,0
10.0.0.4,54376,10.0.0.1,80,25,10201,6,563,19,9638,6.56149899,0.003782016,0,0
10.0.0.4,54384,10.0.1.1,80,127,223287,63,5691,64,217596,6.566548078,0.016029498,2840263.619,108597786.4
10.0.0.4,54384,10.0.0.1,80,343,618110,133,9570,210,608540,6.572212722,65.78560261,1163.780477,74002.81835
10.0.0.4,54394,10.0.1.1,80,18,2785,12,2139,6,646,6.581958571,0.007706855,2220360.964,670571.848
10.0.0.4,54394,10.0.0.2,80,14,1647,6,563,8,1084,6.586353418,0.003307866,0,0
10.0.0.4,54396,10.0.1.1,80,140,479533,61,4685,79,474848,6.590551079,0.02069594,1810983.217,183552136.3
10.0.0.4,54396,10.0.0.3,80,178,599141,60,4315,118,594826,6.594035228,0.0172139,2005356.137,276439853.8
10.0.0.4,54402,10.0.1.1,80,177,2243562,78,5761,99,2237801,6.607916978,0.017968575,2564922.371,996317626.7
10.0.0.4,54402,10.0.0.1,80,191,3091880,75,5255,116,3086625,6.612373021,0.013506017,3112686.738,1828296233
10.0.0.4,54418,10.0.1.1,80,20,8039,11,1217,9,6822,6.630460949,0.013522744,719972.2187,4035867.277
10.0.0.4,54418,10.0.0.3,80,31,23193,9,779,22,22414,6.631414567,0.012513521,498021.3003,14329460.11
10.0.0.4,54432,10.0.1.1,80,120,231479,55,5127,65,226352,6.645265168,0.014466246,2835289.819,125175252.8
10.0.0.4,54432,10.0.0.3,80,141,306207,49,3551,92,302656,6.646152593,0.013579403,2091991.82,178302978.4
10.0.0.4,54444,10.0.1.1,80,108,223953,52,4017,56,219936,6.655639946,0.02441247,1316376.426,72073329.74
10.0.0.4,54444,10.0.0.3,80,126,261159,50,3579,76,257580,6.66557895,0.01447613,1977876.684,142347436.8
10.0.0.4,54450,10.0.1.1,80,18,8757,12,2139,6,6618,6.67543217,0.010252324,1669084.98,5164097.428
10.0.0.4,54450,10.0.0.3,80,14,7619,6,563,8,7056,6.680629995,0.005047155,892383.9272,11184122.54
10.0.0.4,54456,10.0.1.1,80,90,809085,47,5949,43,803136,6.686977209,0.008497669,5600594.704,756100055.2
10.0.0.4,54456,10.0.0.2,80,76,805837,31,2263,45,803574,6.687852814,0.007619311,2376067.862,843723533.5
10.0.0.4,54460,10.0.1.1,80,206,925563,101,9559,105,916004,6.696876191,0.016867832,4533599.813,434438284.7
10.0.0.4,54460,10.0.0.3,80,203,952967,87,6295,116,946672,6.699398666,0.014342579,3511223.47,528034463
10.0.0.4,54468,10.0.1.1,80,16,2659,11,2071,5,588,6.707292148,0.012199964,1358036.794,385574.9083
10.0.0.4,54468,10.0.0.3,80,18,3267,5,495,13,2772,6.713866519,0.005595539,707706.6213,3963157.079
10.0.0.4,54474,10.0.1.1,80,238,832873,106,7757,132,825116,6.720346722,0.017988422,3449774.527,366954255.4
